sample,B2M,CD274,CTLA4,HLA-A,HLA-B,HLA-C,PDCD1,PDCD1LG2,TAP1,TAPBP,canType
TCGA-KK-A8II-01A-11R-A36G-07,12.2572,0.4402,0.4453,9.517,10.0126,10.0717,0.2437,0.2167,5.7925,6.3553,PRAD
TCGA-KK-A8IJ-01A-11R-A352-07,12.1154,0.5515,0.4722,7.012,9.2619,10.1047,0.3217,0.3946,4.7911,5.7275,PRAD
TCGA-KK-A8IK-01A-11R-A36G-07,9.5208,0.2398,0.0784,5.5785,6.8134,6.8097,0.053,0.0779,3.4116,5.2135,PRAD
TCGA-KK-A8IL-01A-11R-A36G-07,13.5117,1.4326,1.509,10.4945,11.465,11.1449,1.3043,0.8652,6.9964,6.919,PRAD
TCGA-KK-A8IM-01A-11R-A36G-07,12.7847,1.1713,0.975,9.3981,9.9741,9.477,0.7719,0.6599,5.792,6.4621,PRAD
TCGA-M7-A71Y-01A-22R-A32O-07,12.3056,0.7474,0.3187,9.0776,9.8576,9.3389,0.4628,0.3784,4.9054,5.9738,PRAD
TCGA-M7-A71Z-01A-12R-A32O-07,10.1716,0.0971,0.0715,6.0502,7.9,7.3978,0.2626,0.0707,3.2741,5.8152,PRAD
TCGA-M7-A720-01A-12R-A32O-07,12.6314,0.8951,0.43,8.9669,9.3872,9.7046,0.5707,0.3841,5.0003,6.2516,PRAD
TCGA-M7-A721-01A-12R-A32O-07,12.8093,0.9049,0.4608,8.8125,9.8187,9.6795,0.4899,0.4717,4.9536,6.428,PRAD
TCGA-M7-A722-01A-12R-A36G-07,10.391,0.327,0.5043,6.3012,7.8395,8.5531,0.0301,0.0381,3.0146,4.8458,PRAD
TCGA-M7-A723-01A-12R-A32O-07,13.3881,0.837,0.6964,9.5913,10.8306,10.3639,0.8121,0.665,5.2715,6.4899,PRAD
TCGA-M7-A724-01A-12R-A32O-07,9.4925,0.1367,0.0127,5.1171,7.899,8.3025,0.0665,0.111,3.3164,5.3186,PRAD
TCGA-M7-A725-01A-12R-A32O-07,12.3007,0.6116,0.5849,9.1547,10.4709,10.1921,0.2614,0.2823,6.2983,6.4433,PRAD
