sample,weakBinder,canType
TCGA-BH-A0BR-01,980,BRCA
TCGA-AQ-A7U7-01,22497,BRCA
TCGA-AO-A0JC-01,20512,BRCA
TCGA-BH-A0DL-01,3506,BRCA
TCGA-OL-A5RU-01,14003,BRCA
TCGA-LL-A50Y-01,4603,BRCA
TCGA-LL-A5YM-01,1885,BRCA
TCGA-C8-A8HP-01,11715,BRCA
TCGA-AC-A62Y-01,4444,BRCA
TCGA-A8-A08B-01,5570,BRCA
TCGA-AC-A3TN-01,7294,BRCA
TCGA-A8-A07W-01,1978,BRCA
TCGA-A8-A07S-01,1830,BRCA
TCGA-AO-A129-01,5349,BRCA
TCGA-A1-A0SD-01,1038,BRCA
TCGA-AC-A8OR-01,6047,BRCA
TCGA-AR-A5QQ-01,757,BRCA
TCGA-EW-A1P0-01,1765,BRCA
TCGA-A8-A0A9-01,6418,BRCA
TCGA-A2-A3XZ-01,8385,BRCA
TCGA-AR-A0TU-01,1491,BRCA
TCGA-E9-A295-01,1183,BRCA
TCGA-BH-A1FJ-01,1817,BRCA
TCGA-A2-A0SX-01,3807,BRCA
TCGA-AR-A24U-01,884,BRCA
TCGA-AN-A0FL-01,738,BRCA
TCGA-AN-A0FS-01,1509,BRCA
TCGA-AR-A24V-01,1651,BRCA
TCGA-GM-A3XL-01,4575,BRCA
TCGA-B6-A401-01,41256,BRCA
TCGA-OL-A5RY-01,1533,BRCA
TCGA-BH-A8FZ-01,6938,BRCA
TCGA-A2-A0CZ-01,495,BRCA
TCGA-AC-A2FE-01,1843,BRCA
TCGA-E9-A1RI-01,3097,BRCA
TCGA-A8-A075-01,1957,BRCA
TCGA-LL-A6FR-01,1531,BRCA
TCGA-AR-A0TZ-01,5689,BRCA
TCGA-E2-A3DX-01,2940,BRCA
TCGA-B6-A0I5-01,2381,BRCA
TCGA-C8-A1HO-01,2027,BRCA
TCGA-D8-A1XL-01,3626,BRCA
TCGA-AN-A0XR-01,5318,BRCA
TCGA-B6-A0RM-01,2463,BRCA
TCGA-S3-AA15-01,5403,BRCA
TCGA-B6-A0RQ-01,1626,BRCA
TCGA-A7-A426-01,28658,BRCA
TCGA-D8-A1JI-01,2167,BRCA
TCGA-E2-A14O-01,1375,BRCA
TCGA-A2-A1FZ-01,1582,BRCA
TCGA-A1-A0SF-01,1205,BRCA
TCGA-AC-A23H-01,804,BRCA
TCGA-A8-A097-01,1818,BRCA
TCGA-D8-A27P-01,2343,BRCA
TCGA-BH-A204-01,1259,BRCA
TCGA-PL-A8LX-01,2198,BRCA
TCGA-OL-A6VR-01,5782,BRCA
TCGA-A8-A07C-01,1803,BRCA
TCGA-3C-AALK-01,6720,BRCA
TCGA-EW-A424-01,18485,BRCA
TCGA-A8-A09E-01,3449,BRCA
TCGA-E2-A15C-01,4044,BRCA
TCGA-B6-A0I9-01,2405,BRCA
TCGA-E9-A1N5-01,6613,BRCA
TCGA-A2-A0CW-01,5290,BRCA
TCGA-D8-A27M-01,2919,BRCA
TCGA-AO-A1KQ-01,3807,BRCA
TCGA-E2-A14U-01,8407,BRCA
TCGA-AC-A3YI-01,10453,BRCA
TCGA-AN-A046-01,2106,BRCA
TCGA-GI-A2C8-01,2136,BRCA
TCGA-A2-A0YM-01,1586,BRCA
TCGA-A7-A0CD-01,1128,BRCA
TCGA-BH-A0HL-01,5999,BRCA
TCGA-EW-A1OW-01,1589,BRCA
TCGA-AN-A0XT-01,6648,BRCA
TCGA-B6-A0X0-01,1823,BRCA
TCGA-AO-A12E-01,2898,BRCA
TCGA-BH-A0BJ-01,768,BRCA
TCGA-BH-A0EE-01,2032,BRCA
TCGA-C8-A12W-01,1023,BRCA
TCGA-UU-A93S-01,3315,BRCA
TCGA-E2-A10C-01,5688,BRCA
TCGA-AQ-A04L-01,3876,BRCA
TCGA-A7-A3J0-01,2167,BRCA
TCGA-AN-A0FZ-01,3858,BRCA
TCGA-E9-A22D-01,1483,BRCA
TCGA-AO-A0J6-01,1225,BRCA
TCGA-AC-A2FK-01,2398,BRCA
TCGA-B6-A0RV-01,847,BRCA
TCGA-E9-A22A-01,774,BRCA
TCGA-A2-A0D4-01,3070,BRCA
TCGA-AC-A6IV-01,7659,BRCA
TCGA-E2-A107-01,4566,BRCA
TCGA-AC-A23E-01,556,BRCA
TCGA-BH-A18Q-01,4522,BRCA
TCGA-C8-A137-01,1617,BRCA
